"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Unidade da Federação";"Ano";"Produto das lavouras temporárias e permanentes";"Variável"
"Unidade da Federação";"Ano";"Produto das lavouras temporárias e permanentes";"Quantidade produzida (Toneladas)";"Valor da produção (Mil Reais)"
"Rondônia";"2008";"Mamão";"5416";"2324"
"Rondônia";"2008";"Mamona (baga)";"-";"-"
"Rondônia";"2008";"Mandioca";"489210";"181893"
"Rondônia";"2008";"Manga";"1492";"735"
"Rondônia";"2008";"Maracujá";"3162";"1717"
"Rondônia";"2008";"Marmelo";"-";"-"
"Rondônia";"2008";"Melancia";"12393";"4752"
"Rondônia";"2008";"Melão";"-";"-"
"Rondônia";"2008";"Milho (em grão)";"305601";"111596"
"Rondônia";"2008";"Noz (fruto seco)";"-";"-"
"Rondônia";"2008";"Palmito";"1407";"2596"
"Rondônia";"2008";"Pera";"-";"-"
"Rondônia";"2008";"Pêssego";"-";"-"
"Rondônia";"2008";"Pimenta-do-reino";"194";"703"
"Rondônia";"2008";"Rami (fibra)";"-";"-"
"Rondônia";"2008";"Sisal ou agave (fibra)";"-";"-"
"Rondônia";"2008";"Soja (em grão)";"311560";"177851"
"Rondônia";"2008";"Sorgo (em grão)";"-";"-"
"Rondônia";"2008";"Tangerina";"1176";"398"
"Rondônia";"2008";"Tomate";"4675";"2886"
"Rondônia";"2008";"Trigo (em grão)";"-";"-"
"Rondônia";"2008";"Triticale (em grão)";"-";"-"
"Rondônia";"2008";"Tungue (fruto seco)";"-";"-"
"Rondônia";"2008";"Urucum (semente)";"2762";"6587"
"Rondônia";"2008";"Uva";"260";"276"
"Rondônia";"2009";"Abacate";"297";"203"
"Rondônia";"2009";"Abacaxi*";"11012";"9492"
"Rondônia";"2009";"Açaí";"...";"..."
"Rondônia";"2009";"Alfafa fenada";"...";"..."
"Rondônia";"2009";"Algodão arbóreo (em caroço)";"-";"-"
"Rondônia";"2009";"Algodão herbáceo (em caroço)";"-";"-"
"Rondônia";"2009";"Alho";"-";"-"
"Rondônia";"2009";"Amendoim (em casca)";"87";"163"
"Rondônia";"2009";"Arroz (em casca)";"159151";"98066"
"Rondônia";"2009";"Aveia (em grão)";"-";"-"
"Rondônia";"2009";"Azeitona";"-";"-"
"Rondônia";"2009";"Banana (cacho)";"49183";"32635"
"Rondônia";"2009";"Batata-doce";"-";"-"
